Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Time,Location,Instructor,Total,Seats Remaining,Has WL,
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10001","Architecture (ARCH) Open Sections"," 201","001","Basic Drawing","LAB","P  ","M","","W","","","","","1130-230PM","1227 A&AB","Tierman, Broderick, Smith","  60","  10","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10003","Architecture (ARCH) Open Sections"," 202","001","Graphic Commun","LAB","P  ","M","","W","","","","","11-2PM","B100 MLB","Quinn, Alcorn","  35","  12","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10065","Architecture (ARCH) Open Sections"," 211","001","CAD Fundamentals","LEC","P R","M","","","","","","","1230-2PM","2104 A&AB","Bard, Tomova, Riikonen","  88","  68","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH) Open Sections"," 211","","CAD Fundamentals","LEC","P R","","","W","","","","","11-2PM","ARR","","  88","  68","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45955","Architecture (ARCH) Open Sections"," 212","002","Understand Arch","REC","P  ","","","","TH","","","","9-10AM","49 UMMA","Trandafirescu, Mattson","  16","   3","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45956","Architecture (ARCH) Open Sections"," 212","003","Understand Arch","REC","P  ","","","","","F","","","10-11AM","1028 DANA","Trandafirescu, Hetrick","  16","   7","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45957","Architecture (ARCH) Open Sections"," 212","004","Understand Arch","REC","P  ","","","","","F","","","11-12PM","4212 SEB","Trandafirescu, Shaw","  16","   6","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45959","Architecture (ARCH) Open Sections"," 212","006","Understand Arch","REC","P  ","","","","TH","","","","10-11AM","G311 DENT","Trandafirescu, Long","  16","   2","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45960","Architecture (ARCH) Open Sections"," 212","007","Understand Arch","REC","P  ","","","","","F","","","10-11AM","706 BMT","Trandafirescu, Hetrick","  16","  15","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45961","Architecture (ARCH) Open Sections"," 212","008","Understand Arch","REC","P  ","","","","TH","","","","9-10AM","430 DENN","Trandafirescu, Mattson","  16","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45963","Architecture (ARCH) Open Sections"," 212","010","Understand Arch","REC","P  ","","","","","F","","","10-11AM","G311 DENT","Trandafirescu, Hetrick","  16","  13","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45964","Architecture (ARCH) Open Sections"," 212","011","Understand Arch","REC","P  ","","","","","F","","","11-12PM","G580 DENT","Trandafirescu, Shaw","  16","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45844","Architecture (ARCH) Open Sections"," 212","001","Understand Arch","LEC","A  ","M","","W","","","","","10-11AM","AUD A AH","Trandafirescu"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10005","Architecture (ARCH) Open Sections"," 218","001","Visual Studies","LAB","P  ","M","","W","","","","","8-11AM","B100 MLB","Gilpin, Stanley, Rutenberg","  35","   9","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50072","Architecture (ARCH) Open Sections"," 218","002","Visual Studies","LAB","P  ","M","","W","","","","","2-5PM","B100 MLB","Quinn","  26","  10","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10007","Architecture (ARCH) Open Sections"," 312","001","Arch Design I","LAB","P R","","T","","","F","","","1230-630PM","3100 A&AB","Trandafirescu"," 150"," 137","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44507","Architecture (ARCH) Open Sections"," 312","009","Arch Design I","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Vance","  15","   3","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","30211","Architecture (ARCH) Open Sections"," 313","002","History Arch I","DIS","P R","","","","","F","","","830-930AM","2210 A&AB","Soo, Keslacy","  15","   1","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10023","Architecture (ARCH) Open Sections"," 313","004","History Arch I","DIS","P  ","","","","","F","","","830-930AM","2213 A&AB","Soo, Moatasim","  15","   5","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10027","Architecture (ARCH) Open Sections"," 313","006","History Arch I","DIS","P  ","","","","","F","","","830-930AM","2222 A&AB","Soo, Kaur","  15","   8","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10019","Architecture (ARCH) Open Sections"," 313","001","History Arch I","LEC","A  ","","T","","TH","","","","830-930AM","2104 A&AB","Soo"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10033","Architecture (ARCH) Open Sections"," 314","002","Structures I","REC","P R","","","W","","","","","930-1030AM","2227 A&AB","von Buelow, Berk"," 175"," 151","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10031","Architecture (ARCH) Open Sections"," 314","001","Structures I","LEC","A  ","M","","","","F","","","930-1030AM","2104 A&AB","von Buelow"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10045","Architecture (ARCH) Open Sections"," 316","002","Design Fund I","LAB","P R","","","W","","","","","11-1230PM","1221 A&AB","Evans, Borum"," 130"," 109","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10043","Architecture (ARCH) Open Sections"," 316","001","Design Fund I","LEC","A  ","","T","","TH","","","","930-1030AM","2104 A&AB","Borum"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10049","Architecture (ARCH) Open Sections"," 317","002","Construction I","LAB","P R","M","","","","","","","130-530PM","3100 A&AB","Mankouche, Cooper"," 150"," 138","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44533","Architecture (ARCH) Open Sections"," 317","010","Construction I","LAB","P  ","M","","","","","","","130-530PM","3100 A&AB","Jones","  20","   8","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10047","Architecture (ARCH) Open Sections"," 317","001","Construction I","LEC","A  ","","","","TH","","","","1130-130PM","2104 A&AB","Mankouche"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","26141","Architecture (ARCH) Open Sections"," 412","001","Arch Design I","LAB","P R","","T","","","F","","","1230-630PM","3100 A&AB","Borum, Miller, Arquero De Alarcon","  45","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29109","Architecture (ARCH) Open Sections"," 413","001","History","LEC","P  ","","T","","TH","","","","10-1130AM","2108 A&AB","Herscher, McCulloch","  45","  12","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10069","Architecture (ARCH) Open Sections"," 423","002","Int U P&Env","DIS","P  ","","","","TH","","","","12-1PM","3038 DANA","D'Anieri, Druta","  20","   4","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10073","Architecture (ARCH) Open Sections"," 423","004","Int U P&Env","DIS","P  ","","","","TH","","","","12-1PM","3556 DANA","D'Anieri, Tarr","  20","   4","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10067","Architecture (ARCH) Open Sections"," 423","001","Int U P&Env","LEC","A  ","","T","","TH","","","","10-11AM","1040 DANA","D'Anieri"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10075","Architecture (ARCH) Open Sections"," 425","001","Sustainable Sys II","LEC","P R","M","","W","","F","","","830-930AM","2104 A&AB","Kim, Junghans, Bae, Lee"," 180","  47","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10077","Architecture (ARCH) Open Sections"," 432","001","Arch Des III","LAB","P R","","T","","","F","","","1230-630PM","3100 A&AB","Mitnick, Kiely"," 150"," 139","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44531","Architecture (ARCH) Open Sections"," 432","009","Arch Des III","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Lecavalier, Kiely","  20","  10","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","43529","Architecture (ARCH) Open Sections"," 466","001","Dimensions","LEC","PI ","M","","","","","","","5-6PM","ARR","Unverzagt","  25","  17","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44009","Architecture (ARCH) Open Sections"," 503","001","Spec Topc Arch Hist","SEM","P  ","","","","TH","","","","1130-230PM","2210 A&AB","Constant","  17","   4","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48008","Architecture (ARCH) Open Sections"," 503","002","Spec Topc Arch Hist","SEM","P  ","M","","","","","","","630-8PM","2108 A&AB","Kelbaugh","  40","   4","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH) Open Sections"," 503","","Spec Topc Arch Hist","SEM","P  ","","","","TH","","","","630-8PM","2108 A&AB","","  40","   4","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48821","Architecture (ARCH) Open Sections"," 503","003","Spec Topc Arch Hist","SEM","P  ","","","W","","","","","1-4PM","270 TAP","Zimmerman","  20","   8","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","37001","Architecture (ARCH) Open Sections"," 506","001","Spec Topics Des Fund","SEM","P  ","","","W","","","","","830-1130AM","2204 A&AB","Hill","  15","   7","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","43995","Architecture (ARCH) Open Sections"," 506","002","Spec Topics Des Fund","SEM","P  ","","","W","","","","","7-10PM","2222 A&AB","Ray","  25","  19","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","43999","Architecture (ARCH) Open Sections"," 506","003","Spec Topics Des Fund","SEM","P  ","M","","","","","","","7-10PM","2222 A&AB","Psarra","  25","  21","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44089","Architecture (ARCH) Open Sections"," 506","005","Spec Topics Des Fund","SEM","P  ","","","W","","","","","7-10PM","2213 A&AB","Wilkins","  25","  20","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44091","Architecture (ARCH) Open Sections"," 506","006","Spec Topics Des Fund","SEM","P  ","","","W","","","","","7-10PM","2227 A&AB","Groat","  10","   1","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","33983","Architecture (ARCH) Open Sections"," 509","002","Experimental Course","SEM","PI ","M","","W","","","","","7-10PM","2114 A&AB","Pachikara","  20","   5","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH) Open Sections"," 509","","Experimental Course","SEM","P  ","M","","W","","","","","7-10PM","2006 A&AB","","  20","   5","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49461","Architecture (ARCH) Open Sections"," 509","003","Experimental Course","SEM","P  ","","","W","","","","","7-10PM","2108 A&AB","Pigram","  25","   5","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49464","Architecture (ARCH) Open Sections"," 509","005","Experimental Course","SEM","P  ","M","","","","","","","7-10PM","2210 A&AB","Curry","  25","  25","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49465","Architecture (ARCH) Open Sections"," 509","006","Experimental Course","SEM","P  ","M","","","","","","","7-10PM","2213 A&AB","Saldana","  25","  25","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49466","Architecture (ARCH) Open Sections"," 509","007","Experimental Course","SEM","P  ","","","W","","","","","7-10PM","1227 A&AB","Maigret","  25","  21","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49468","Architecture (ARCH) Open Sections"," 509","009","Experimental Course","SEM","P  ","","","W","","","","","7-10PM","2210 A&AB","Hwang","  25","  19","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29029","Architecture (ARCH) Open Sections"," 516","002","Arch Representation","LAB","P R","M","","","","","","","3-5PM","2104 A&AB","McCullough"," 150"," 135","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44651","Architecture (ARCH) Open Sections"," 516","007","Arch Representation","LAB","P  ","M","","","","","","","3-5PM","1227 A&AB","Ng","  20","   3","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29027","Architecture (ARCH) Open Sections"," 516","001","Arch Representation","LEC","A  ","M","","","","","","","2-3PM","2104 A&AB","McCullough"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","46007","Architecture (ARCH) Open Sections"," 518","001","Renaissance Arch","LEC","P  ","","","","TH","","","","1-4PM","130 TAP","Soo","  25","  17","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","36583","Architecture (ARCH) Open Sections"," 519","001","Theories Urban Des","LEC","P  ","M","","W","","","","","830-10AM","1227 A&AB","Larsen, Broderick","  60","  28","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10087","Architecture (ARCH) Open Sections"," 534","001","Reinfor Concr Struc","LEC","P  ","M","","W","","","","","930-11AM","2213 A&AB","Giles","  20","   5","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10089","Architecture (ARCH) Open Sections"," 552","001","Arch Design V","LAB","P R","","T","","","F","","","1230-630PM","3100 A&AB","Adams, Smith"," 130"," 119","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44613","Architecture (ARCH) Open Sections"," 552","008","Arch Design V","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Velikov","  20","  10","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49456","Architecture (ARCH) Open Sections"," 552","009","Arch Design V","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Young","  20","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42495","Architecture (ARCH) Open Sections"," 555","001","Bld Sy&Ener Consvtn","LEC","P  ","","","","TH","","","","830-1130AM","2210 A&AB","Navvab","  25","  10","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","27633","Architecture (ARCH) Open Sections"," 564","001","Adv Material Struct","LEC","P  ","","T","","TH","","","","10-1130AM","2222 A&AB","Giles","  20","   8","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42403","Architecture (ARCH) Open Sections"," 589","001","Site Planning","LEC","P  ","","","","TH","","","","230-430PM","2104 A&AB","Thun"," 120","  20","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49007","Architecture (ARCH) Open Sections"," 600","021","Tutor Studies Arch","IND"," I ","","","","","","","","ARR","ARR","Velikov","  25","  23","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51056","Architecture (ARCH) Open Sections"," 600","027","Tutor Studies Arch","IND"," I ","","","","","","","","ARR","ARR","Thun","  25","  24","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","46947","Architecture (ARCH) Open Sections"," 605","001","Env Des Simulation","LEC","P  ","M","","","","","","","830-1130AM","2210 A&AB","Navvab","  25","  17","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10107","Architecture (ARCH) Open Sections"," 660","001","Thesis Res&Dev Sem","SEM","P R","","","W","","","","","230-530PM","1221 A&AB","Clutter, Mitnick"," 100","  77","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH) Open Sections"," 660","","Thesis Res&Dev Sem","SEM","P R","","","W","","","","","230-530PM","2213 A&AB",""," 100","  77","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10109","Architecture (ARCH) Open Sections"," 672","001","Arch Design VII","LAB","P R","","T","","","F","","","1230-630PM","3100 A&AB","Daubmann, Simbuerger"," 130"," 119","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44615","Architecture (ARCH) Open Sections"," 672","006","Arch Design VII","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Maigret, Simbuerger","  20","   8","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44617","Architecture (ARCH) Open Sections"," 672","007","Arch Design VII","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Thun, Simbuerger","  20","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49458","Architecture (ARCH) Open Sections"," 672","008","Arch Design VII","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Wilcox, Simbuerger","  20","   8","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","31363","Architecture (ARCH) Open Sections"," 690","001","Arc Curr Pract Exper","IND"," I ","","","","","","","","ARR","ARR","","  25","  25","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48926","Architecture (ARCH) Open Sections"," 693","001","Col Arch-Urbanism","SEM","P  ","","","","TH","","","","6-9PM","2227 A&AB","Glover","  12","   5","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48938","Architecture (ARCH) Open Sections"," 711","001","MS Topic Seminar","SEM","P  ","","","W","","","","","130-430PM","2227 A&AB","Colas","  20","  12","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44385","Architecture (ARCH) Open Sections"," 712","001","MS Topic Workshop","SEM","P  ","","","","","","","","ARR","ARR","Young","  35","  30","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48585","Architecture (ARCH) Open Sections"," 716","001","Adv Top in Des Stds","SEM","P  ","","","W","","","","","7-10PM","ARR","Groat","   6","   2","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10121","Architecture (ARCH) Open Sections"," 719","001","Supervised Research","IND"," IR","","","","","","","","ARR","ARR","","  35","  35","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","39833","Architecture (ARCH) Open Sections"," 720","001","MS_DR Seminar","SEM","P R","M","","","","","","","10-1PM","2227 A&AB","Glover","  10","   2","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51307","Architecture (ARCH) Open Sections"," 739","005","Masters Thesis","IND"," I ","","","","","","","","ARR","ARR","Wineman","  25","  24","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49088","Architecture (ARCH) Open Sections"," 741","001","MS_DR Thesis Studio","IND"," I ","","","","","","","","ARR","ARR","","  25","  25","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49416","Architecture (ARCH) Open Sections"," 741","058","MS_DR Thesis Studio","IND","   ","M","","","","","","","2-6PM","ARR","Young","  25","  17","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51312","Architecture (ARCH) Open Sections"," 810","008","Tutorial Studies","IND"," I ","","","","","","","","ARR","ARR","Glover","  25","  24","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48820","Architecture (ARCH) Open Sections"," 813","001","Res&Meth Arch","SEM","P  ","","","","TH","","","","130-430PM","2213 A&AB","Zimmerman","  15","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","39995","Architecture (ARCH) Open Sections"," 813","002","Res&Meth Arch","SEM","P  ","","","","TH","","","","130-430PM","2227 A&AB","Groat","  25","  23","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50403","Architecture (ARCH) Open Sections"," 839","024","Research Practicum","IND"," I ","","","","","","","","ARR","ARR","Groat","  25","  24","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","37717","Architecture (ARCH) Open Sections"," 880","001","Res Colloquium BT","SEM","P  ","","","","","","","","ARR","ARR","","  10","  10","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","37715","Architecture (ARCH) Open Sections"," 890","001","Res Colloquium DS","SEM","P  ","","","","","","","","ARR","ARR","","  10","  10","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50155","Architecture (ARCH) Open Sections"," 990","005","Diss-Precand","IND","   ","","","","","","","","ARR","ARR","Wineman","  25","  23","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10131","Architecture (ARCH) Open Sections"," 993","001","Teach Meth Gsi","SEM","P  ","","","","","","","","ARR","ARR","Norton","  35","  17","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50651","Architecture (ARCH) Open Sections"," 995","005","Diss-Cand","IND","  R","","","","","","","","ARR","ARR","Wineman","  25","  21","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","48001","Architecture (ARCH) Open Sections"," 995","007","Diss-Cand","IND","  R","","","","","","","","ARR","ARR","Fishman","  25","  23","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","51689","Architecture (ARCH) Open Sections"," 995","008","Diss-Cand","IND","  R","","","","","","","","ARR","ARR","Glover","  25","  25","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50154","Architecture (ARCH) Open Sections"," 995","023","Diss-Cand","IND","  R","","","","","","","","ARR","ARR","Navvab","  25","  23","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50152","Architecture (ARCH) Open Sections"," 995","024","Diss-Cand","IND","  R","","","","","","","","ARR","ARR","Groat","  25","  23","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49882","Architecture (ARCH) Open Sections"," 995","029","Diss-Cand","IND","  R","","","","","","","","ARR","ARR","Giles","  25","  24","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50153","Architecture (ARCH) Open Sections"," 995","030","Diss-Cand","IND","  R","","","","","","","","ARR","ARR","Kim","  25","  23","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","36585","Urban Design (UD) Open Sections"," 719","001","Princ&Prac Urb Des I","LEC","P R","M","","W","","","","","830-10AM","1227 A&AB","Larsen, Broderick","  60","  28","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","34883","Urban Design (UD) Open Sections"," 722","001","Urban Des Studio II","LAB","P R","","T","","","F","","","1230-630PM","2222 A&AB","Strickland","  25","  11","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10137","Urban Planning (UP) Open Sections"," 406","002","Intro Geo Info Sys","LAB","P R","M","","","","","","","12-230PM","ARR","Deng, Skuzinski","  15","   1","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10139","Urban Planning (UP) Open Sections"," 406","003","Intro Geo Info Sys","LAB","P R","","","","TH","","","","1-330PM","ARR","Deng, Skuzinski","  20","   3","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10141","Urban Planning (UP) Open Sections"," 406","004","Intro Geo Info Sys","LAB","P R","","","","","F","","","830-11AM","ARR","Deng, Skuzinski","  20","  11","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10145","Urban Planning (UP) Open Sections"," 423","002","Int U P&Env","DIS","P  ","","","","TH","","","","12-1PM","3038 DANA","D'Anieri, Druta","  20","   4","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10149","Urban Planning (UP) Open Sections"," 423","004","Int U P&Env","DIS","P  ","","","","TH","","","","12-1PM","3556 DANA","D'Anieri, Tarr","  20","   4","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10143","Urban Planning (UP) Open Sections"," 423","001","Int U P&Env","LEC","A  ","","T","","TH","","","","10-11AM","1040 DANA","D'Anieri"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10153","Urban Planning (UP) Open Sections"," 510","001","Public Economics","LEC","P  ","","T","","TH","","","","830-10AM","1227 A&AB","Owens, Lee","  60","  14","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10157","Urban Planning (UP) Open Sections"," 517","001","Real Est Ess","LEC","P R","M","","","","","","","7-10PM","R0230 BUS","Allen","  65","  11","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45982","Urban Planning (UP) Open Sections"," 518","001","Phys Plan Workshop","LAB","P R","","T","","TH","","","","9-1130AM","3100 A&AB","Rofe","  18","  14","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","36549","Urban Planning (UP) Open Sections"," 519","001","Theories Urban Des","LEC","P  ","M","","W","","","","","830-10AM","1227 A&AB","Larsen, Broderick","  60","  28","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42471","Urban Planning (UP) Open Sections"," 521","001","Soc Life- Pub Spaces","SEM","P  ","","","","TH","","","","5-8PM","2210 A&AB","Thacher","  25","   8","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","33445","Urban Planning (UP) Open Sections"," 534","001","Conc,Prac Iss in EJ","SEM","P  ","M","","","","","","","3-6PM","1028 DANA","Bryant Jr, Hockman","  30","  18","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42573","Urban Planning (UP) Open Sections"," 537","001","Hsg Policy&Econ","LEC","P  ","M","","W","","","","","3-430PM","2222 A&AB","Deng","  35","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","32223","Urban Planning (UP) Open Sections"," 538","001","Econ Dev Plan","LEC","P  ","","T","","TH","","","","1130-1PM","2213 A&AB","Glazer","  28","  13","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","31555","Urban Planning (UP) Open Sections"," 560","001","Behavior&Environmt","LEC","P  ","M","","W","","","","","1-230PM","1040 DANA","De Young"," 197","  49","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42571","Urban Planning (UP) Open Sections"," 573","001","Urb&Regnl Thry","LEC","P  ","","T","","TH","","","","230-4PM","2108 A&AB","Grengs","  35","  16","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44109","Urban Planning (UP) Open Sections"," 574","001","Comp Urban Policy","LEC","P  ","","","","TH","","","","4-7PM","2222 A&AB","Murray","  25","  13","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","49449","Urban Planning (UP) Open Sections"," 594","001","Amer Pln 1900-2000","LEC","P  ","","T","","TH","","","","1-230PM","2108 A&AB","Fishman","  35","  28","N",
"Fall 2010","First 7 Week Session","Architecture & Urban Planning","31147","Urban Planning (UP) Open Sections"," 614","001","Negotn&Disp Resolutn","SEM","P  ","M","","W","","","","","530-7PM","1227 A&AB","Caetano","  35","  11","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","29281","Urban Planning (UP) Open Sections"," 634","001","Integrat Field Exp","LAB","PI ","","T","","TH","","","","130-430PM","2204 A&AB","Dewar, Dueweke","  25","  15","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","36543","Urban Planning (UP) Open Sections"," 634","002","Integrat Field Exp","LAB","PI ","","T","","TH","","","","430-730PM","2204 A&AB","Dewar, Dueweke","  25","  16","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45951","Urban Planning (UP) Open Sections"," 634","003","Integrat Field Exp","LAB","PI ","","T","","TH","","","","430-730PM","ARR","Larsen, Dueweke","  25","  20","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","46691","Urban Planning (UP) Open Sections"," 650","001","Adv Urban Theory","SEM","P  ","","T","","","","","","1-4PM","2227 A&AB","Campbell","  25","  11","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","38849","Urban Planning (UP) Open Sections"," 654","001","Conc&Tech Comm","LEC","P  ","","","","","F","","","9-12PM","2302 SEB","Richards-Schuster","  20","   1","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","36613","Urban Planning (UP) Open Sections"," 658","001","Pln Devel Countries","LEC","P  ","","","","","F","","","9-12PM","2204 A&AB","Shatkin","  30","  17","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","27477","Urban Planning (UP) Open Sections"," 671","001","Pub Pol&Transport","SEM","P  ","","T","","TH","","","","1130-1PM","2108 A&AB","Grengs","  35","   4","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","30705","Urban Planning (UP) Open Sections"," 680","001","Directed Study","IND"," I ","","","","","","","","ARR","ARR","","  35","  35","N",
